x,U_0,U_1,U_2,magU
0,1.27202E-11,-4.97959E-09,1.02874E-06,1.02875205179789E-06
5.02513E-06,8.65055E-12,-4.89178E-09,1.02993E-06,1.02994161702807E-06
1.00503E-05,8.65055E-12,-4.89178E-09,1.02993E-06,1.02994161702807E-06
1.50754E-05,8.65055E-12,-4.89178E-09,1.02993E-06,1.02994161702807E-06
2.01005E-05,1.27952E-10,-1.37288E-08,3.09382E-06,3.09385046321265E-06
2.51256E-05,1.27952E-10,-1.37288E-08,3.09382E-06,3.09385046321265E-06
3.01508E-05,1.27952E-10,-1.37288E-08,3.09382E-06,3.09385046321265E-06
3.51759E-05,3.62016E-10,-2.17105E-08,5.16988E-06,5.1699255982331E-06
4.0201E-05,3.62016E-10,-2.17105E-08,5.16988E-06,5.1699255982331E-06
4.52261E-05,5.16162E-10,-2.20892E-08,5.16368E-06,5.16372727219204E-06
5.02513E-05,7.07451E-10,-2.89268E-08,7.26623E-06,7.26628761288357E-06
5.52764E-05,7.07451E-10,-2.89268E-08,7.26623E-06,7.26628761288357E-06
6.03015E-05,1.00269E-09,-2.94235E-08,7.2572E-06,7.25725971615592E-06
6.53266E-05,1.00269E-09,-2.94235E-08,7.2572E-06,7.25725971615592E-06
7.03518E-05,1.62855E-09,-3.60531E-08,9.37888E-06,9.37894943650912E-06
7.53769E-05,1.62855E-09,-3.60531E-08,9.37888E-06,9.37894943650912E-06
8.0402E-05,1.62855E-09,-3.60531E-08,9.37888E-06,9.37894943650912E-06
8.54271E-05,1.70187E-09,-4.13619E-08,1.15528E-05,1.15528741680645E-05
9.04523E-05,1.70187E-09,-4.13619E-08,1.15528E-05,1.15528741680645E-05
9.54774E-05,1.70187E-09,-4.13619E-08,1.15528E-05,1.15528741680645E-05
0.000100503,2.34304E-09,-4.67078E-08,1.37598E-05,1.3759879474342E-05
0.000105528,2.34304E-09,-4.67078E-08,1.37598E-05,1.3759879474342E-05
0.000110553,2.34304E-09,-4.67078E-08,1.37598E-05,1.3759879474342E-05
0.000115578,2.34304E-09,-4.67078E-08,1.37598E-05,1.3759879474342E-05
0.000120603,3.07621E-09,-5.15442E-08,1.60206E-05,1.60206832135094E-05
