x,U_0,U_1,U_2
0,-3.99519e-09,8.04033e-06,2.17479e-07
5.02513e-06,-3.99519e-09,8.04033e-06,2.17479e-07
1.00503e-05,-5.80542e-09,6.80571e-06,2.01018e-07
1.50754e-05,-3.99519e-09,8.04033e-06,2.17479e-07
2.01005e-05,-5.80542e-09,6.80571e-06,2.01018e-07
2.51256e-05,-3.99519e-09,8.04033e-06,2.17479e-07
3.01508e-05,-5.80542e-09,6.80571e-06,2.01018e-07
3.51759e-05,-3.99519e-09,8.04033e-06,2.17479e-07
4.0201e-05,-3.99519e-09,8.04033e-06,2.17479e-07
4.52261e-05,-3.99519e-09,8.04033e-06,2.17479e-07
5.02513e-05,-1.51254e-08,1.92449e-05,1.98088e-07
5.52764e-05,-1.04252e-08,2.27405e-05,2.1453e-07
6.03015e-05,-1.51254e-08,1.92449e-05,1.98088e-07
6.53266e-05,-1.04252e-08,2.27405e-05,2.1453e-07
7.03518e-05,-1.51254e-08,1.92449e-05,1.98088e-07
7.53769e-05,-1.04252e-08,2.27405e-05,2.1453e-07
8.0402e-05,-1.51254e-08,1.92449e-05,1.98088e-07
8.54271e-05,-1.51254e-08,1.92449e-05,1.98088e-07
9.04523e-05,-1.51254e-08,1.92449e-05,1.98088e-07
9.54774e-05,-1.04252e-08,2.27405e-05,2.1453e-07
0.000100503,-1.65801e-08,3.73024e-05,2.0725e-07
0.000105528,-2.38774e-08,3.15445e-05,1.91051e-07
0.000110553,-2.38774e-08,3.15445e-05,1.91051e-07
0.000115578,-1.65801e-08,3.73024e-05,2.0725e-07
0.000120603,-2.38774e-08,3.15445e-05,1.91051e-07
0.000125628,-1.65801e-08,3.73024e-05,2.0725e-07
0.000130653,-2.38774e-08,3.15445e-05,1.91051e-07
0.000135678,-2.38774e-08,3.15445e-05,1.91051e-07
0.000140704,-2.38774e-08,3.15445e-05,1.91051e-07
0.000145729,-2.38774e-08,3.15445e-05,1.91051e-07
0.000150754,-3.27162e-08,4.33805e-05,1.80435e-07
0.000155779,-2.2948e-08,5.1364e-05,1.96242e-07
0.000160804,-3.27162e-08,4.33805e-05,1.80435e-07
0.000165829,-3.27162e-08,4.33805e-05,1.80435e-07
0.000170854,-3.27162e-08,4.33805e-05,1.80435e-07
0.000175879,-3.27162e-08,4.33805e-05,1.80435e-07
0.000180905,-3.27162e-08,4.33805e-05,1.80435e-07
0.00018593,-3.27162e-08,4.33805e-05,1.80435e-07
0.000190955,-3.27162e-08,4.33805e-05,1.80435e-07
0.00019598,-3.27162e-08,4.33805e-05,1.80435e-07
0.000201005,-4.10878e-08,5.45286e-05,1.66426e-07
0.00020603,-2.92027e-08,6.46783e-05,1.81676e-07
0.000211055,-4.10878e-08,5.45286e-05,1.66426e-07
0.00021608,-2.92027e-08,6.46783e-05,1.81676e-07
0.000221106,-4.10878e-08,5.45286e-05,1.66426e-07
0.000226131,-2.92027e-08,6.46783e-05,1.81676e-07
0.000231156,-2.92027e-08,6.46783e-05,1.81676e-07
0.000236181,-2.92027e-08,6.46783e-05,1.81676e-07
0.000241206,-2.92027e-08,6.46783e-05,1.81676e-07
0.000246231,-4.10878e-08,5.45286e-05,1.66426e-07
0.000251256,-4.87556e-08,6.47715e-05,1.49227e-07
0.000256281,-4.87556e-08,6.47715e-05,1.49227e-07
0.000261307,-4.87556e-08,6.47715e-05,1.49227e-07
0.000266332,-4.87556e-08,6.47715e-05,1.49227e-07
0.000271357,-4.87556e-08,6.47715e-05,1.49227e-07
0.000276382,-4.87556e-08,6.47715e-05,1.49227e-07
0.000281407,-4.87556e-08,6.47715e-05,1.49227e-07
0.000286432,-4.87556e-08,6.47715e-05,1.49227e-07
0.000291457,-4.87556e-08,6.47715e-05,1.49227e-07
0.000296482,-3.52176e-08,7.70038e-05,1.63719e-07
0.000301508,-5.5516e-08,7.38864e-05,1.29116e-07
0.000306533,-5.5516e-08,7.38864e-05,1.29116e-07
0.000311558,-5.5516e-08,7.38864e-05,1.29116e-07
0.000316583,-5.5516e-08,7.38864e-05,1.29116e-07
0.000321608,-5.5516e-08,7.38864e-05,1.29116e-07
0.000326633,-5.5516e-08,7.38864e-05,1.29116e-07
0.000331658,-5.5516e-08,7.38864e-05,1.29116e-07
0.000336683,-5.5516e-08,7.38864e-05,1.29116e-07
0.000341709,-5.5516e-08,7.38864e-05,1.29116e-07
0.000346734,-5.5516e-08,7.38864e-05,1.29116e-07
0.000351759,-6.11396e-08,8.16424e-05,1.06476e-07
0.000356784,-4.59716e-08,9.76616e-05,1.18693e-07
0.000361809,-6.11396e-08,8.16424e-05,1.06476e-07
0.000366834,-6.11396e-08,8.16424e-05,1.06476e-07
0.000371859,-6.11396e-08,8.16424e-05,1.06476e-07
0.000376884,-6.11396e-08,8.16424e-05,1.06476e-07
0.00038191,-6.11396e-08,8.16424e-05,1.06476e-07
0.000386935,-6.11396e-08,8.16424e-05,1.06476e-07
0.00039196,-6.11396e-08,8.16424e-05,1.06476e-07
0.000396985,-6.11396e-08,8.16424e-05,1.06476e-07
0.00040201,-6.53747e-08,8.78006e-05,8.18169e-08
0.000407035,-5.03154e-08,0.00010544,9.24317e-08
0.00041206,-6.53747e-08,8.78006e-05,8.18169e-08
0.000417085,-5.03154e-08,0.00010544,9.24317e-08
0.000422111,-6.53747e-08,8.78006e-05,8.18169e-08
0.000427136,-6.53747e-08,8.78006e-05,8.18169e-08
0.000432161,-6.53747e-08,8.78006e-05,8.18169e-08
0.000437186,-6.53747e-08,8.78006e-05,8.18169e-08
0.000442211,-6.53747e-08,8.78006e-05,8.18169e-08
0.000447236,-6.53747e-08,8.78006e-05,8.18169e-08
0.000452261,-6.79569e-08,9.21181e-05,5.57991e-08
0.000457286,-5.36273e-08,0.000111122,6.44585e-08
0.000462312,-6.79569e-08,9.21181e-05,5.57991e-08
0.000467337,-6.79569e-08,9.21181e-05,5.57991e-08
0.000472362,-5.36273e-08,0.000111122,6.44585e-08
0.000477387,-6.79569e-08,9.21181e-05,5.57991e-08
0.000482412,-6.79569e-08,9.21181e-05,5.57991e-08
0.000487437,-6.79569e-08,9.21181e-05,5.57991e-08
0.000492462,-6.79569e-08,9.21181e-05,5.57991e-08
0.000497487,-6.79569e-08,9.21181e-05,5.57991e-08
0.000502513,-6.86255e-08,9.43549e-05,2.92599e-08
0.000507538,-5.56005e-08,0.000114395,3.55999e-08
0.000512563,-6.86255e-08,9.43549e-05,2.92599e-08
0.000517588,-5.56005e-08,0.000114395,3.55999e-08
0.000522613,-6.86255e-08,9.43549e-05,2.92599e-08
0.000527638,-5.56005e-08,0.000114395,3.55999e-08
0.000532663,-6.86255e-08,9.43549e-05,2.92599e-08
0.000537688,-6.86255e-08,9.43549e-05,2.92599e-08
0.000542714,-6.86255e-08,9.43549e-05,2.92599e-08
0.000547739,-5.56005e-08,0.000114395,3.55999e-08
0.000552764,-6.7149e-08,9.42857e-05,3.2298e-09
0.000557789,-6.7149e-08,9.42857e-05,3.2298e-09
0.000562814,-6.7149e-08,9.42857e-05,3.2298e-09
0.000567839,-6.7149e-08,9.42857e-05,3.2298e-09
0.000572864,-6.7149e-08,9.42857e-05,3.2298e-09
0.000577889,-6.7149e-08,9.42857e-05,3.2298e-09
0.000582915,-6.7149e-08,9.42857e-05,3.2298e-09
0.00058794,-5.59106e-08,0.00011495,6.91058e-09
0.000592965,-5.59106e-08,0.00011495,6.91058e-09
0.00059799,-5.59106e-08,0.00011495,6.91058e-09
0.000603015,-5.42524e-08,0.000112497,-2.03036e-08
0.00060804,-6.33639e-08,9.17174e-05,-2.10629e-08
