x,U_0,U_1,U_2
0,1.18071e-10,2.59724e-05,-2.70768e-11
0.000160804,-3.52115e-11,0.000988,1.8811e-12
0.000321608,-7.17218e-11,0.00195967,1.88105e-12
0.000482412,-1.07816e-10,0.00293137,1.88105e-12
0.000643216,-1.43806e-10,0.00390308,1.88105e-12
0.00080402,-1.79753e-10,0.0048748,1.88105e-12
0.000964824,-2.15678e-10,0.00584651,1.88105e-12
0.00112563,-2.52788e-10,0.00685061,1.88105e-12
0.00128643,3.34339e-10,0.0102118,1.85606e-12
0.00144724,-3.24593e-10,0.00879404,1.88105e-12
0.00160804,-3.6049e-10,0.00976576,1.88105e-12
0.00176884,-3.96384e-10,0.0107375,1.88105e-12
0.00192965,-4.32275e-10,0.0117092,1.88106e-12
0.00209045,-4.68169e-10,0.0126809,1.88105e-12
0.00225126,-5.05256e-10,0.013685,1.88105e-12
0.00241206,-5.41146e-10,0.0146567,1.88104e-12
0.00257286,-5.77034e-10,0.0156284,1.88105e-12
0.00273367,-6.12922e-10,0.0166002,1.88104e-12
0.00289447,-6.48809e-10,0.0175719,1.88105e-12
0.00305528,-6.84695e-10,0.0185436,1.88105e-12
0.00321608,-7.21776e-10,0.0195477,1.88106e-12
0.00337688,8.77356e-10,0.0267875,1.85606e-12
0.00353769,-7.93548e-10,0.0214911,1.88105e-12
0.00369849,-8.29433e-10,0.0224629,1.88105e-12
0.0038593,-8.65317e-10,0.0234346,1.88105e-12
0.0040201,-9.012e-10,0.0244063,1.88104e-12
0.0041809,1.08512e-09,0.0331302,1.85607e-12
0.00434171,-9.74164e-10,0.0263821,1.88105e-12
0.00450251,-1.01005e-09,0.0273538,1.88105e-12
0.00466332,-1.04593e-09,0.0283255,1.88105e-12
0.00482412,-1.08182e-09,0.0292973,1.88104e-12
0.00498492,-1.1177e-09,0.030269,1.88105e-12
0.00514573,1.33582e-09,0.0407838,1.85606e-12
0.00530653,-1.18947e-09,0.0322124,1.88105e-12
0.00546734,-1.22655e-09,0.0332165,1.88105e-12
0.00562814,1.46186e-09,0.0446317,1.85607e-12
0.00578894,-1.29831e-09,0.0351599,1.88105e-12
0.00594975,-1.33419e-09,0.0361317,1.88105e-12
0.00611055,-1.37008e-09,0.0371034,1.88105e-12
0.00627136,1.62807e-09,0.0497059,1.85606e-12
0.00643216,-1.44304e-09,0.0390792,1.88105e-12
0.00659296,1.71256e-09,0.0522853,1.85606e-12
0.00675377,-1.5148e-09,0.0410226,1.88105e-12
0.00691457,-1.55069e-09,0.0419944,1.88105e-12
0.00707538,-1.58657e-09,0.0429661,1.88105e-12
0.00723618,1.87877e-09,0.0573595,1.85606e-12
0.00739698,-1.65834e-09,0.0449095,1.88104e-12
0.00755779,1.96326e-09,0.0599389,1.85606e-12
0.00771859,-1.7313e-09,0.0468853,1.88104e-12
0.0078794,-1.76718e-09,0.047857,1.88105e-12
0.0080402,-1.80306e-09,0.0488288,1.88105e-12
0.00820101,-1.83895e-09,0.0498005,1.88105e-12
0.00836181,-1.87483e-09,0.0507722,1.88105e-12
0.00852261,2.21256e-09,0.0675501,1.85606e-12
0.00868342,-1.94779e-09,0.052748,1.88105e-12
0.00884422,2.29705e-09,0.0701295,1.85606e-12
0.00900503,-2.01956e-09,0.0546914,1.88104e-12
0.00916583,-2.05544e-09,0.0556632,1.88105e-12
0.00932663,-2.09132e-09,0.0566349,1.88104e-12
0.00948744,2.46326e-09,0.0752037,1.85606e-12
0.00964824,-2.16429e-09,0.0586107,1.88105e-12
0.00980905,-2.20017e-09,0.0595824,1.88105e-12
0.00996985,-2.23605e-09,0.0605541,1.88105e-12
0.0101307,-2.27193e-09,0.0615259,1.88105e-12
0.0102915,-2.30782e-09,0.0624976,1.88105e-12
0.0104523,-2.3437e-09,0.0634693,1.88105e-12
0.0106131,2.7555e-09,0.0841258,1.85607e-12
