# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1e-08         	(1.279113e-29 7.530713e-09 9.111154e-09)	(1.279113e-29 7.530713e-09 0.000000e+00)	(-3.190346e-38 1.507980e-17 9.111154e-09)
2e-08         	(3.102896e-29 1.826068e-08 4.542985e-08)	(3.102896e-29 1.826068e-08 0.000000e+00)	(-1.050761e-37 5.356407e-17 4.542985e-08)
3e-08         	(4.569637e-29 2.690470e-08 1.299304e-07)	(4.569637e-29 2.690470e-08 0.000000e+00)	(-2.036532e-37 1.097926e-16 1.299304e-07)
4e-08         	(5.717521e-29 3.365789e-08 2.808542e-07)	(5.717521e-29 3.365789e-08 0.000000e+00)	(-3.153247e-37 1.768305e-16 2.808542e-07)
5e-08         	(6.682615e-29 3.932446e-08 5.102816e-07)	(6.682615e-29 3.932446e-08 0.000000e+00)	(-4.336683e-37 2.503642e-16 5.102816e-07)
6e-08         	(7.588162e-29 4.469877e-08 8.230903e-07)	(7.588162e-29 4.469877e-08 0.000000e+00)	(-5.555693e-37 3.278833e-16 8.230903e-07)
7e-08         	(8.417738e-29 4.955814e-08 1.217590e-06)	(8.417738e-29 4.955814e-08 0.000000e+00)	(-6.793291e-37 4.076731e-16 1.217590e-06)
8e-08         	(9.227404e-29 5.430401e-08 1.687009e-06)	(9.227404e-29 5.430400e-08 0.000000e+00)	(-8.036614e-37 4.884239e-16 1.687009e-06)
9e-08         	(1.005422e-28 5.921343e-08 2.221222e-06)	(1.005422e-28 5.921343e-08 0.000000e+00)	(-9.273878e-37 5.690212e-16 2.221222e-06)
1e-07         	(1.082205e-28 6.368075e-08 2.808323e-06)	(1.082205e-28 6.368075e-08 0.000000e+00)	(-1.049492e-36 6.484513e-16 2.808323e-06)
1.1e-07       	(1.161715e-28 6.838937e-08 3.435895e-06)	(1.161715e-28 6.838937e-08 0.000000e+00)	(-1.168942e-36 7.259292e-16 3.435895e-06)
1.2e-07       	(1.240503e-28 7.306996e-08 4.091919e-06)	(1.240503e-28 7.306995e-08 0.000000e+00)	(-1.284883e-36 8.008020e-16 4.091919e-06)
1.3e-07       	(1.309911e-28 7.704166e-08 4.765359e-06)	(1.309911e-28 7.704166e-08 0.000000e+00)	(-1.396686e-36 8.725278e-16 4.765359e-06)
1.4e-07       	(1.384979e-28 8.149703e-08 5.446489e-06)	(1.384979e-28 8.149703e-08 0.000000e+00)	(-1.503711e-36 9.408558e-16 5.446489e-06)
1.5e-07       	(1.460530e-28 8.603000e-08 6.127023e-06)	(1.460530e-28 8.603000e-08 0.000000e+00)	(-1.605573e-36 1.005600e-15 6.127023e-06)
1.6e-07       	(1.524116e-28 8.965937e-08 6.800109e-06)	(1.524116e-28 8.965937e-08 0.000000e+00)	(-1.702117e-36 1.066608e-15 6.800109e-06)
1.7e-07       	(1.597492e-28 9.410670e-08 7.460245e-06)	(1.597492e-28 9.410670e-08 0.000000e+00)	(-1.793104e-36 1.123990e-15 7.460245e-06)
1.8e-07       	(1.656530e-28 9.746632e-08 8.103146e-06)	(1.656530e-28 9.746632e-08 0.000000e+00)	(-1.878646e-36 1.177722e-15 8.103146e-06)
